country,association_name,official_name,association_code,member_id,overall_rank,overall_country_coefficient,season_rank,season_country_coefficient,uefa_season_year,overall_source_url,season_source_url,scraped_at_utc
France,France,France,FRA,43,4,33.515,5,7.136,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Germany,Germany,Germany,GER,47,5,31.92,6,6.888,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Portugal,Portugal,Portugal,POR,110,6,29.067,13,3.63,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Netherlands,Netherlands,Netherlands,NED,95,7,27.28,10,5.005,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Greece,Greece,Greece,GRE,49,8,21.175,20,2.2,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Russia,Russia,Russia,RUS,57451,9,21.009,7,6.6,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Romania,Romania,Romania,ROU,113,10,20.762,1,11.11,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Scotland,Scotland,Scotland,SCO,117,11,20.046,17,2.805,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Belgium,Belgium,Belgium,BEL,13,12,19.963,12,3.63,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Ukraine,Ukraine,Ukraine,UKR,57166,13,17.555,11,3.795,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Czechia,Czechia,Czechia,CZE,58837,14,17.538,15,3.052,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Türkiye,Türki̇ye,Türki̇ye,TUR,135,15,17.269,18,2.64,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Switzerland,Switzerland,Switzerland,SUI,128,16,17.075,8,6.187,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Bulgaria,Bulgaria,Bulgaria,BUL,20,17,16.032,9,5.775,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Israel,Israel,Israel,ISR,65,18,14.217,30,0.99,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Norway,Norway,Norway,NOR,101,19,13.843,14,3.564,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Austria,Austria,Austria,AUT,8,20,13.446,21,2.145,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Serbia,Serbia,Serbia,SRB,147,21,13.2,22,2.145,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Poland,Poland,Poland,POL,109,22,12.208,36,0.742,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Denmark,Denmark,Denmark,DEN,35,23,11.187,19,2.31,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Hungary,Hungary,Hungary,HUN,57,24,9.68,40,0.66,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Croatia,Croatia,Croatia,CRO,56370,25,9.294,49,0.22,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Sweden,Sweden,Sweden,SWE,127,26,8.745,24,1.76,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Slovakia,Slovakia,Slovakia,SVK,58836,27,8.14,16,2.86,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Cyprus,Cyprus,Cyprus,CYP,33,28,6.71,23,1.98,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Slovenia,Slovenia,Slovenia,SVN,57163,29,6.71,26,1.54,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,60094,30,5.39,29,0.99,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Finland,Finland,Finland,FIN,42,31,4.867,25,1.54,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Latvia,Latvia,Latvia,LVA,56558,32,4.73,35,0.88,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Moldova,Moldova,Moldova,MDA,57160,33,4.51,28,1.1,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Georgia,Georgia,Georgia,GEO,57157,34,4.18,45,0.44,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Lithuania,Lithuania,Lithuania,LTU,56557,35,3.85,32,0.88,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
North Macedonia,North Macedonia,North Macedonia,MKD,59205,36,3.52,31,0.99,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Iceland,Iceland,Iceland,ISL,58,37,3.19,41,0.55,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Liechtenstein,Liechtenstein,Liechtenstein,LIE,81,38,2.97,37,0.66,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Belarus,Belarus,Belarus,BLR,57155,39,2.915,34,0.88,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Republic of Ireland,Republic of Ireland,Republic of Ireland,IRL,64,40,2.86,27,1.21,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Albania,Albania,Albania,ALB,2,41,2.42,38,0.66,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Armenia,Armenia,Armenia,ARM,57419,42,1.98,46,0.44,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Estonia,Estonia,Estonia,EST,56556,43,1.76,42,0.55,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Malta,Malta,Malta,MLT,88,44,1.76,51,0.0,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Wales,Wales,Wales,WAL,144,45,1.54,44,0.44,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Northern Ireland,Northern Ireland,Northern Ireland,NIR,63,46,1.54,48,0.33,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Azerbaijan,Azerbaijan,Azerbaijan,AZE,57154,47,1.32,33,0.88,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Luxembourg,Luxembourg,Luxembourg,LUX,82,48,1.21,47,0.33,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Kazakhstan,Kazakhstan,Kazakhstan,KAZ,65146,49,1.1,39,0.66,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Faroe Islands,Faroe Islands,Faroe Islands,FRO,51218,50,1.1,43,0.44,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Andorra,Andorra,Andorra,AND,60618,51,0.0,50,0.0,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
San Marino,San Marino,San Marino,SMR,50168,51,0.0,52,0.0,2006,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2006,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2006,2026-02-13T21:37:57.705796+00:00
Spain,Spain,Spain,ESP,122,1,50.748,1,12.54,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
England,England,England,ENG,39,2,45.236,2,10.972,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Italy,Italy,Italy,ITA,66,3,43.616,3,7.872,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
France,France,France,FRA,43,4,35.413,5,6.6,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Germany,Germany,Germany,GER,47,5,29.28,6,6.27,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Portugal,Portugal,Portugal,POR,110,6,28.215,8,5.335,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Romania,Romania,Romania,ROU,113,7,26.51,4,7.48,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Netherlands,Netherlands,Netherlands,NED,95,8,25.991,7,5.421,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Russia,Russia,Russia,RUS,57451,9,23.841,10,4.372,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Scotland,Scotland,Scotland,SCO,117,10,20.129,9,4.455,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Ukraine,Ukraine,Ukraine,UKR,57166,11,19.453,11,4.29,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Belgium,Belgium,Belgium,BEL,13,12,19.188,17,3.102,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Czechia,Czechia,Czechia,CZE,58837,13,17.703,15,3.795,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Türkiye,Türki̇ye,Türki̇ye,TUR,135,14,17.583,13,4.026,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Greece,Greece,Greece,GRE,49,15,16.83,18,3.08,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Bulgaria,Bulgaria,Bulgaria,BUL,20,16,16.224,16,3.382,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Switzerland,Switzerland,Switzerland,SUI,128,17,15.739,19,2.706,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Norway,Norway,Norway,NOR,101,18,13.018,25,1.32,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Israel,Israel,Israel,ISR,65,19,12.677,14,3.96,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Serbia,Serbia,Serbia,SRB,147,20,12.512,23,1.402,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Denmark,Denmark,Denmark,DEN,35,21,12.259,12,4.042,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Austria,Austria,Austria,AUT,8,22,12.209,30,0.99,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Poland,Poland,Poland,POL,109,23,11.218,21,1.732,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Hungary,Hungary,Hungary,HUN,57,24,9.35,42,0.66,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Slovakia,Slovakia,Slovakia,SVK,58836,25,7.15,24,1.32,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Croatia,Croatia,Croatia,CRO,56370,26,7.067,41,0.66,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Cyprus,Cyprus,Cyprus,CYP,33,27,6.985,29,1.155,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Sweden,Sweden,Sweden,SWE,127,28,6.957,38,0.742,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Slovenia,Slovenia,Slovenia,SVN,57163,29,6.545,35,0.825,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,60094,30,6.38,28,1.21,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Latvia,Latvia,Latvia,LVA,56558,31,5.72,22,1.43,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Lithuania,Lithuania,Lithuania,LTU,56557,32,4.84,27,1.21,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Finland,Finland,Finland,FIN,42,33,4.84,34,0.88,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Moldova,Moldova,Moldova,MDA,57160,34,4.73,32,0.99,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Republic of Ireland,Republic of Ireland,Republic of Ireland,IRL,64,35,4.29,20,1.87,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Georgia,Georgia,Georgia,GEO,57157,36,4.07,36,0.77,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Liechtenstein,Liechtenstein,Liechtenstein,LIE,81,37,3.96,26,1.32,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
North Macedonia,North Macedonia,North Macedonia,MKD,59205,38,3.85,37,0.77,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Iceland,Iceland,Iceland,ISL,58,39,3.3,40,0.66,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Belarus,Belarus,Belarus,BLR,57155,40,3.08,39,0.66,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Albania,Albania,Albania,ALB,2,41,2.53,43,0.55,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Estonia,Estonia,Estonia,EST,56556,42,2.42,31,0.99,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Armenia,Armenia,Armenia,ARM,57419,43,2.31,46,0.33,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Azerbaijan,Azerbaijan,Azerbaijan,AZE,57154,44,2.09,33,0.88,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Kazakhstan,Kazakhstan,Kazakhstan,KAZ,65146,45,1.54,45,0.44,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Northern Ireland,Northern Ireland,Northern Ireland,NIR,63,46,1.43,49,0.11,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Wales,Wales,Wales,WAL,144,47,1.32,44,0.44,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Faroe Islands,Faroe Islands,Faroe Islands,FRO,51218,48,1.1,47,0.33,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Luxembourg,Luxembourg,Luxembourg,LUX,82,49,1.1,48,0.11,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Malta,Malta,Malta,MLT,88,50,1.1,50,0.11,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
Andorra,Andorra,Andorra,AND,60618,51,0.0,51,0.0,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
San Marino,San Marino,San Marino,SMR,50168,51,0.0,52,0.0,2007,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2007,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2007,2026-02-13T21:37:57.705796+00:00
England,England,England,ENG,39,1,75.749,1,17.875,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Spain,Spain,Spain,ESP,122,2,75.266,2,13.875,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Italy,Italy,Italy,ITA,66,3,60.41,6,10.25,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
France,France,France,FRA,43,4,52.668,10,6.928,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Germany,Germany,Germany,GER,47,5,48.722,3,13.5,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Russia,Russia,Russia,RUS,57451,6,43.75,4,11.25,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Romania,Romania,Romania,ROU,113,7,40.599,25,2.6,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Portugal,Portugal,Portugal,POR,110,8,39.927,8,7.928,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Netherlands,Netherlands,Netherlands,NED,95,9,38.213,16,5.0,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Scotland,Scotland,Scotland,SCO,117,10,33.375,5,10.25,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
Türkiye,Türki̇ye,Türki̇ye,TUR,135,11,31.725,7,9.75,2008,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2008,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2008,2026-02-13T21:37:57.705796+00:00
